busID,voltage,phaseAngle,timestamp
B17,0.98,-6.1,1754681101.1509354
B20,0.99,0.2,1754681101.150941
B21,1.02,-5.3,1754681101.1509454
B22,0.98,-6.1,1754681101.15095
B6,1.02,-5.3,1754681103.154398
B9,1.01,0.5,1754681103.1544523
B10,0.99,0.2,1754681103.1544569
B17,0.98,-6.1,1754681103.1544602
B20,0.99,0.2,1754681103.154463
B21,1.02,-5.3,1754681103.154465
B22,0.98,-6.1,1754681103.1544673
B6,1.02,-5.3,1754681105.1596758
B9,1.01,0.5,1754681105.1597185
B10,0.99,0.2,1754681105.1597233
B17,0.98,-6.1,1754681105.1597266
B20,0.99,0.2,1754681105.1597292
B21,1.02,-5.3,1754681105.1597314
B22,0.98,-6.1,1754681105.1597338
B6,1.02,-5.3,1754681107.159957
B9,1.01,0.5,1754681107.1599982
B10,0.99,0.2,1754681107.1600027
B17,0.98,-6.1,1754681107.1600063
B20,0.99,0.2,1754681107.1600091
B21,1.02,-5.3,1754681107.1600118
B22,0.98,-6.1,1754681107.1600142
B6,1.02,-5.3,1754681109.160205
B9,1.01,0.5,1754681109.1603107
B10,0.99,0.2,1754681109.1603181
B17,0.98,-6.1,1754681109.1603222
B20,0.99,0.2,1754681109.160325
B21,1.02,-5.3,1754681109.1603274
B22,0.98,-6.1,1754681109.1603298
B6,1.02,-5.3,1754681111.1607242
B9,1.01,0.5,1754681111.160761
B10,0.99,0.2,1754681111.1607656
B17,0.98,-6.1,1754681111.1607692
B20,0.99,0.2,1754681111.1607716
B21,1.02,-5.3,1754681111.160774
B22,0.98,-6.1,1754681111.1607761
B6,1.02,-5.3,1754681113.1611948
B9,1.01,0.5,1754681113.1615033
B10,0.99,0.2,1754681113.1615145
B17,0.98,-6.1,1754681113.1615183
B20,0.99,0.2,1754681113.1615212
B21,1.02,-5.3,1754681113.1615233
B22,0.98,-6.1,1754681113.1615257
B6,1.02,-5.3,1754681115.1624668
B9,1.01,0.5,1754681115.1625113
B10,0.99,0.2,1754681115.1625166
B17,0.98,-6.1,1754681115.1625202
B20,0.99,0.2,1754681115.162523
B21,1.02,-5.3,1754681115.1625257
B22,0.98,-6.1,1754681115.162528
B6,1.02,-5.3,1754681117.1631246
B9,1.01,0.5,1754681117.163171
B10,0.99,0.2,1754681117.1631763
B17,0.98,-6.1,1754681117.1631799
B20,0.99,0.2,1754681117.1631827
B21,1.02,-5.3,1754681117.1631851
B22,0.98,-6.1,1754681117.1631875
B6,1.02,-5.3,1754681119.163357
B9,1.01,0.5,1754681119.1633954
B10,0.99,0.2,1754681119.1634
B17,0.98,-6.1,1754681119.1634033
B20,0.99,0.2,1754681119.1634064
B21,1.02,-5.3,1754681119.163409
B22,0.98,-6.1,1754681119.1634111
B6,1.02,-5.3,1754681121.163638
B9,1.01,0.5,1754681121.164588
B10,0.99,0.2,1754681121.1646032
B17,0.98,-6.1,1754681121.1646075
B20,0.99,0.2,1754681121.1646106
B21,1.02,-5.3,1754681121.1646135
B22,0.98,-6.1,1754681121.164616
B6,1.02,-5.3,1754681123.1663828
B9,1.01,0.5,1754681123.1687224
B10,0.99,0.2,1754681123.1687388
B17,0.98,-6.1,1754681123.1687427
B20,0.99,0.2,1754681123.1687458
B21,1.02,-5.3,1754681123.1687477
B22,0.98,-6.1,1754681123.16875
B6,1.02,-5.3,1754681125.1688774
B9,1.01,0.5,1754681125.1692088
B10,0.99,0.2,1754681125.1692204
B17,0.98,-6.1,1754681125.1692243
B20,0.99,0.2,1754681125.1692274
B21,1.02,-5.3,1754681125.16923
B22,0.98,-6.1,1754681125.1692326
B6,1.02,-5.3,1754681127.1694202
B9,1.01,0.5,1754681127.1695075
B10,0.99,0.2,1754681127.1695154
B17,0.98,-6.1,1754681127.1695187
B20,0.99,0.2,1754681127.1695216
B21,1.02,-5.3,1754681127.1695237
B22,0.98,-6.1,1754681127.1695263
B6,1.02,-5.3,1754681129.172909
B9,1.01,0.5,1754681129.1731553
B10,0.99,0.2,1754681129.1731632
B17,0.98,-6.1,1754681129.1731675
B20,0.99,0.2,1754681129.1731699
B21,1.02,-5.3,1754681129.1731722
B22,0.98,-6.1,1754681129.1731746
B6,1.02,-5.3,1754681131.1735263
B9,1.01,0.5,1754681131.1735606
B10,0.99,0.2,1754681131.1735647
B17,0.98,-6.1,1754681131.173568
B20,0.99,0.2,1754681131.1735709
B21,1.02,-5.3,1754681131.1735735
B22,0.98,-6.1,1754681131.1735756
B6,1.02,-5.3,1754681133.1739607
B9,1.01,0.5,1754681133.1739976
B10,0.99,0.2,1754681133.1740022
B17,0.98,-6.1,1754681133.1740055
B20,0.99,0.2,1754681133.1740084
B21,1.02,-5.3,1754681133.174011
B22,0.98,-6.1,1754681133.174013
B6,1.02,-5.3,1754681135.1741564
B9,1.01,0.5,1754681135.1742043
B10,0.99,0.2,1754681135.1742096
B17,0.98,-6.1,1754681135.1742132
B20,0.99,0.2,1754681135.1742165
B21,1.02,-5.3,1754681135.174219
B22,0.98,-6.1,1754681135.174287
B6,1.02,-5.3,1754681137.17473
B9,1.01,0.5,1754681137.174886
B10,0.99,0.2,1754681137.1748936
B17,0.98,-6.1,1754681137.1748972
B20,0.99,0.2,1754681137.1749003
B21,1.02,-5.3,1754681137.1749024
B22,0.98,-6.1,1754681137.174905
B6,1.02,-5.3,1754681139.1751776
B9,1.01,0.5,1754681139.1752255
B10,0.99,0.2,1754681139.1752307
B17,0.98,-6.1,1754681139.1752343
B20,0.99,0.2,1754681139.1752377
B21,1.02,-5.3,1754681139.17524
B22,0.98,-6.1,1754681139.1752422
B6,1.02,-5.3,1754681141.1755147
B9,1.01,0.5,1754681141.1755567
B10,0.99,0.2,1754681141.1755614
B17,0.98,-6.1,1754681141.175565
B20,0.99,0.2,1754681141.1755676
B21,1.02,-5.3,1754681141.17557
B22,0.98,-6.1,1754681141.1755722
B6,1.02,-5.3,1754681143.1757715
B9,1.01,0.5,1754681143.17593
B10,0.99,0.2,1754681143.1759377
B17,0.98,-6.1,1754681143.1759412
B20,0.99,0.2,1754681143.1759436
B21,1.02,-5.3,1754681143.175946
B22,0.98,-6.1,1754681143.1759484
B6,1.02,-5.3,1754681145.17618
B9,1.01,0.5,1754681145.176218
B10,0.99,0.2,1754681145.1762228
B17,0.98,-6.1,1754681145.1762261
B20,0.99,0.2,1754681145.1762292
B21,1.02,-5.3,1754681145.1762314
B22,0.98,-6.1,1754681145.1762338
B6,1.02,-5.3,1754681147.1763737
B9,1.01,0.5,1754681147.1764445
B10,0.99,0.2,1754681147.176452
B17,0.98,-6.1,1754681147.1764553
B20,0.99,0.2,1754681147.1764576
B21,1.02,-5.3,1754681147.1764603
B22,0.98,-6.1,1754681147.1764627
B6,1.02,-5.3,1754681149.1769722
B9,1.01,0.5,1754681149.1770113
B10,0.99,0.2,1754681149.1770155
B17,0.98,-6.1,1754681149.1770194
B20,0.99,0.2,1754681149.1770222
B21,1.02,-5.3,1754681149.1770244
B22,0.98,-6.1,1754681149.1770265
B6,1.02,-5.3,1754681151.1774423
B9,1.01,0.5,1754681151.1779037
B10,0.99,0.2,1754681151.177918
B17,0.98,-6.1,1754681151.1779218
B20,0.99,0.2,1754681151.1779246
B21,1.02,-5.3,1754681151.177927
B22,0.98,-6.1,1754681151.1779292
B6,1.02,-5.3,1754681153.178173
B9,1.01,0.5,1754681153.1783853
B10,0.99,0.2,1754681153.1783934
B17,0.98,-6.1,1754681153.1783974
B20,0.99,0.2,1754681153.1784008
B21,1.02,-5.3,1754681153.1784034
B22,0.98,-6.1,1754681153.178406
B6,1.02,-5.3,1754681155.1787467
B9,1.01,0.5,1754681155.17991
B10,0.99,0.2,1754681155.1799278
B17,0.98,-6.1,1754681155.1799319
B20,0.99,0.2,1754681155.1799347
B21,1.02,-5.3,1754681155.1799374
B22,0.98,-6.1,1754681155.1799395
B6,1.02,-5.3,1754681157.181114
B9,1.01,0.5,1754681157.1812007
B10,0.99,0.2,1754681157.1812086
B17,0.98,-6.1,1754681157.1812124
B20,0.99,0.2,1754681157.1812155
B21,1.02,-5.3,1754681157.181218
B22,0.98,-6.1,1754681157.1812203
B6,1.02,-5.3,1754681159.181496
B9,1.01,0.5,1754681159.1815746
B10,0.99,0.2,1754681159.181582
B17,0.98,-6.1,1754681159.1815856
B20,0.99,0.2,1754681159.1815886
B21,1.02,-5.3,1754681159.1815915
B22,0.98,-6.1,1754681159.181594
B6,1.02,-5.3,1754681161.1818826
B9,1.01,0.5,1754681161.1821194
B10,0.99,0.2,1754681161.1821268
B17,0.98,-6.1,1754681161.1821306
B20,0.99,0.2,1754681161.1821334
B21,1.02,-5.3,1754681161.1821358
B22,0.98,-6.1,1754681161.1821382
B6,1.02,-5.3,1754681163.1831627
B9,1.01,0.5,1754681163.1832476
B10,0.99,0.2,1754681163.183255
B17,0.98,-6.1,1754681163.1832585
B20,0.99,0.2,1754681163.1832616
B21,1.02,-5.3,1754681163.1832643
B22,0.98,-6.1,1754681163.1832664
B6,1.02,-5.3,1754681165.1834612
B9,1.01,0.5,1754681165.183534
B10,0.99,0.2,1754681165.183541
B17,0.98,-6.1,1754681165.1835446
B20,0.99,0.2,1754681165.1835475
B21,1.02,-5.3,1754681165.1835496
B22,0.98,-6.1,1754681165.183552
B6,1.02,-5.3,1754681167.1838925
B9,1.01,0.5,1754681167.183968
B10,0.99,0.2,1754681167.1839755
B17,0.98,-6.1,1754681167.183979
B20,0.99,0.2,1754681167.1839824
B21,1.02,-5.3,1754681167.183985
B22,0.98,-6.1,1754681167.1839871
B6,1.02,-5.3,1754681169.1842284
B9,1.01,0.5,1754681169.1842642
B10,0.99,0.2,1754681169.1842687
B17,0.98,-6.1,1754681169.1842723
B20,0.99,0.2,1754681169.184275
B21,1.02,-5.3,1754681169.1842773
B22,0.98,-6.1,1754681169.1842792
B6,1.02,-5.3,1754681171.1845846
B9,1.01,0.5,1754681171.1846209
B10,0.99,0.2,1754681171.1846254
B17,0.98,-6.1,1754681171.1846287
B20,0.99,0.2,1754681171.1846313
B21,1.02,-5.3,1754681171.184634
B22,0.98,-6.1,1754681171.1846359
B6,1.02,-5.3,1754681173.184874
B9,1.01,0.5,1754681173.1849158
B10,0.99,0.2,1754681173.1849203
B17,0.98,-6.1,1754681173.184924
B20,0.99,0.2,1754681173.184927
B21,1.02,-5.3,1754681173.1849296
B22,0.98,-6.1,1754681173.1849318
B6,1.02,-5.3,1754681175.1852164
B9,1.01,0.5,1754681175.185316
B10,0.99,0.2,1754681175.1853235
B17,0.98,-6.1,1754681175.185327
B20,0.99,0.2,1754681175.18533
B21,1.02,-5.3,1754681175.185332
B22,0.98,-6.1,1754681175.1853342
B6,1.02,-5.3,1754683454.1145995
B9,1.01,0.5,1754683454.1146722
B10,0.99,0.2,1754683454.11468
B17,0.98,-6.1,1754683454.1146836
B20,0.99,0.2,1754683454.1146865
B21,1.02,-5.3,1754683454.1146889
B22,0.98,-6.1,1754683454.1146913
B6,1.02,-5.3,1754683456.1165664
B9,1.01,0.5,1754683456.1191027
B10,0.99,0.2,1754683456.1191185
B17,0.98,-6.1,1754683456.1191216
B20,0.99,0.2,1754683456.1191242
B21,1.02,-5.3,1754683456.1191266
B22,0.98,-6.1,1754683456.119129
B6,1.02,-5.3,1754683458.1193862
B9,1.01,0.5,1754683458.1194575
B10,0.99,0.2,1754683458.1194649
B17,0.98,-6.1,1754683458.119468
B20,0.99,0.2,1754683458.1194706
B21,1.02,-5.3,1754683458.1194732
B22,0.98,-6.1,1754683458.1194754
B6,1.02,-5.3,1754683460.119913
B9,1.01,0.5,1754683460.1199536
B10,0.99,0.2,1754683460.1199586
B17,0.98,-6.1,1754683460.1199613
B20,0.99,0.2,1754683460.119964
B21,1.02,-5.3,1754683460.1199665
B22,0.98,-6.1,1754683460.1199687
B6,1.02,-5.3,1754683462.1203077
B9,1.01,0.5,1754683462.1203775
B10,0.99,0.2,1754683462.1203856
B17,0.98,-6.1,1754683462.1203885
B20,0.99,0.2,1754683462.1203914
B21,1.02,-5.3,1754683462.1203935
B22,0.98,-6.1,1754683462.1203957
B6,1.02,-5.3,1754683464.1213322
B9,1.01,0.5,1754683464.1216934
B10,0.99,0.2,1754683464.1217048
B17,0.98,-6.1,1754683464.121708
B20,0.99,0.2,1754683464.1217108
B21,1.02,-5.3,1754683464.1217132
B22,0.98,-6.1,1754683464.1217155
B6,1.02,-5.3,1754683466.1218357
B9,1.01,0.5,1754683466.121903
B10,0.99,0.2,1754683466.1219103
B17,0.98,-6.1,1754683466.1219137
B20,0.99,0.2,1754683466.121916
B21,1.02,-5.3,1754683466.1219182
B22,0.98,-6.1,1754683466.1219206
B6,1.02,-5.3,1754683468.1223345
B9,1.01,0.5,1754683468.1257825
B10,0.99,0.2,1754683468.1258023
B17,0.98,-6.1,1754683468.1258059
B20,0.99,0.2,1754683468.1258087
B21,1.02,-5.3,1754683468.1258109
B22,0.98,-6.1,1754683468.1258132
B6,1.02,-5.3,1754683470.1258714
B9,1.01,0.5,1754683470.1259458
B10,0.99,0.2,1754683470.1259534
B17,0.98,-6.1,1754683470.1259565
B20,0.99,0.2,1754683470.1259592
B21,1.02,-5.3,1754683470.1259613
B22,0.98,-6.1,1754683470.1259632
B6,1.02,-5.3,1754683472.127257
B9,1.01,0.5,1754683472.134852
B10,0.99,0.2,1754683472.13487
B17,0.98,-6.1,1754683472.1348734
B20,0.99,0.2,1754683472.1348767
B21,1.02,-5.3,1754683472.1348789
B22,0.98,-6.1,1754683472.1348813
B6,1.02,-5.3,1754683474.137331
B9,1.01,0.5,1754683474.137529
B10,0.99,0.2,1754683474.1375365
B17,0.98,-6.1,1754683474.1375399
B20,0.99,0.2,1754683474.1375425
B21,1.02,-5.3,1754683474.1375446
B22,0.98,-6.1,1754683474.1375468
B6,1.02,-5.3,1754683476.1408236
B9,1.01,0.5,1754683476.140903
B10,0.99,0.2,1754683476.1409104
B17,0.98,-6.1,1754683476.1409137
B20,0.99,0.2,1754683476.140916
B21,1.02,-5.3,1754683476.1409185
B22,0.98,-6.1,1754683476.1409206
B6,1.02,-5.3,1754683478.1411443
B9,1.01,0.5,1754683478.1412165
B10,0.99,0.2,1754683478.141224
B17,0.98,-6.1,1754683478.141227
B20,0.99,0.2,1754683478.1412296
B21,1.02,-5.3,1754683478.1412315
B22,0.98,-6.1,1754683478.141234
B6,1.02,-5.3,1754683480.1415353
B9,1.01,0.5,1754683480.1415741
B10,0.99,0.2,1754683480.1415787
B17,0.98,-6.1,1754683480.141582
B20,0.99,0.2,1754683480.1415846
B21,1.02,-5.3,1754683480.1415868
B22,0.98,-6.1,1754683480.141589
B6,1.02,-5.3,1754683482.1420262
B9,1.01,0.5,1754683482.1422298
B10,0.99,0.2,1754683482.1422398
B17,0.98,-6.1,1754683482.1422431
B20,0.99,0.2,1754683482.1422458
B21,1.02,-5.3,1754683482.142248
B22,0.98,-6.1,1754683482.1422505
B6,1.02,-5.3,1754683484.142453
B9,1.01,0.5,1754683484.1425078
B10,0.99,0.2,1754683484.1425128
B17,0.98,-6.1,1754683484.1425161
B20,0.99,0.2,1754683484.142519
B21,1.02,-5.3,1754683484.1425214
B22,0.98,-6.1,1754683484.1425238
B6,1.02,-5.3,1754683486.1428957
B9,1.01,0.5,1754683486.1430864
B10,0.99,0.2,1754683486.1430967
B17,0.98,-6.1,1754683486.1430998
B20,0.99,0.2,1754683486.1431024
B21,1.02,-5.3,1754683486.1431048
B22,0.98,-6.1,1754683486.1431067
B6,1.02,-5.3,1754683488.1432693
B9,1.01,0.5,1754683488.1433215
B10,0.99,0.2,1754683488.1433275
B17,0.98,-6.1,1754683488.1433306
B20,0.99,0.2,1754683488.1433334
B21,1.02,-5.3,1754683488.1433356
B22,0.98,-6.1,1754683488.143338
B6,1.02,-5.3,1754683490.1435282
B9,1.01,0.5,1754683490.1436272
B10,0.99,0.2,1754683490.1436322
B17,0.98,-6.1,1754683490.143635
B20,0.99,0.2,1754683490.1436374
B21,1.02,-5.3,1754683490.1436396
B22,0.98,-6.1,1754683490.143642
B6,1.02,-5.3,1754683492.1441526
B9,1.01,0.5,1754683492.1443903
B10,0.99,0.2,1754683492.1443994
B17,0.98,-6.1,1754683492.1444027
B20,0.99,0.2,1754683492.1444058
B21,1.02,-5.3,1754683492.144408
B22,0.98,-6.1,1754683492.1444104
B6,1.02,-5.3,1754683494.1451576
B9,1.01,0.5,1754683494.1452017
B10,0.99,0.2,1754683494.1452067
B17,0.98,-6.1,1754683494.14521
B20,0.99,0.2,1754683494.1452127
B21,1.02,-5.3,1754683494.1452153
B22,0.98,-6.1,1754683494.1452172
B6,1.02,-5.3,1754683496.1472595
B9,1.01,0.5,1754683496.147326
B10,0.99,0.2,1754683496.1473334
B17,0.98,-6.1,1754683496.1473365
B20,0.99,0.2,1754683496.147339
B21,1.02,-5.3,1754683496.147341
B22,0.98,-6.1,1754683496.1473432
B6,1.02,-5.3,1754683498.1491947
B9,1.01,0.5,1754683498.1492383
B10,0.99,0.2,1754683498.1492429
B17,0.98,-6.1,1754683498.149246
B20,0.99,0.2,1754683498.1492486
B21,1.02,-5.3,1754683498.1492505
B22,0.98,-6.1,1754683498.149253
B6,1.02,-5.3,1754683500.1494536
B9,1.01,0.5,1754683500.1495266
B10,0.99,0.2,1754683500.1495342
B17,0.98,-6.1,1754683500.1495376
B20,0.99,0.2,1754683500.1495404
B21,1.02,-5.3,1754683500.1495423
B22,0.98,-6.1,1754683500.1495445
B6,1.02,-5.3,1754683502.1500814
B9,1.01,0.5,1754683502.1502407
B10,0.99,0.2,1754683502.1502488
B17,0.98,-6.1,1754683502.150252
B20,0.99,0.2,1754683502.1502552
B21,1.02,-5.3,1754683502.1502573
B22,0.98,-6.1,1754683502.1502597
B6,1.02,-5.3,1754683504.150502
B9,1.01,0.5,1754683504.150587
B10,0.99,0.2,1754683504.1505954
B17,0.98,-6.1,1754683504.1505988
B20,0.99,0.2,1754683504.1506011
B21,1.02,-5.3,1754683504.1506035
B22,0.98,-6.1,1754683504.1506057
B6,1.02,-5.3,1754683506.1508968
B9,1.01,0.5,1754683506.1510565
B10,0.99,0.2,1754683506.1510632
B17,0.98,-6.1,1754683506.1510665
B20,0.99,0.2,1754683506.1510692
B21,1.02,-5.3,1754683506.1510847
B22,0.98,-6.1,1754683506.1510875
B6,1.02,-5.3,1754683508.1513376
B9,1.01,0.5,1754683508.1519413
B10,0.99,0.2,1754683508.1519544
B17,0.98,-6.1,1754683508.1519578
B20,0.99,0.2,1754683508.1519606
B21,1.02,-5.3,1754683508.1519625
B22,0.98,-6.1,1754683508.151965
B6,1.02,-5.3,1754683510.1523468
B9,1.01,0.5,1754683510.1524456
B10,0.99,0.2,1754683510.1524527
B17,0.98,-6.1,1754683510.1524556
B20,0.99,0.2,1754683510.1524587
B21,1.02,-5.3,1754683510.1524608
B22,0.98,-6.1,1754683510.1524632
B6,1.02,-5.3,1754683512.1528077
B9,1.01,0.5,1754683512.1531386
B10,0.99,0.2,1754683512.1531506
B17,0.98,-6.1,1754683512.153154
B20,0.99,0.2,1754683512.1531563
B21,1.02,-5.3,1754683512.153159
B22,0.98,-6.1,1754683512.1531613
B6,1.02,-5.3,1754683514.1533797
B9,1.01,0.5,1754683514.1543217
B10,0.99,0.2,1754683514.1543376
B17,0.98,-6.1,1754683514.1543415
B20,0.99,0.2,1754683514.154344
B21,1.02,-5.3,1754683514.1543462
B22,0.98,-6.1,1754683514.1543489
B6,1.02,-5.3,1754683516.1550543
B9,1.01,0.5,1754683516.155097
B10,0.99,0.2,1754683516.155102
B17,0.98,-6.1,1754683516.155105
B20,0.99,0.2,1754683516.1551075
B21,1.02,-5.3,1754683516.15511
B22,0.98,-6.1,1754683516.1551123
B6,1.02,-5.3,1754683518.1553326
B9,1.01,0.5,1754683518.1559994
B10,0.99,0.2,1754683518.1560128
B17,0.98,-6.1,1754683518.1560159
B20,0.99,0.2,1754683518.1560187
B21,1.02,-5.3,1754683518.1560206
B22,0.98,-6.1,1754683518.1560233
B6,1.02,-5.3,1754683520.1563563
B9,1.01,0.5,1754683520.156392
B10,0.99,0.2,1754683520.1563969
B17,0.98,-6.1,1754683520.1564002
B20,0.99,0.2,1754683520.1564028
B21,1.02,-5.3,1754683520.1564052
B22,0.98,-6.1,1754683520.1564074
B6,1.02,-5.3,1754683522.1566985
B9,1.01,0.5,1754683522.156856
B10,0.99,0.2,1754683522.1568635
B17,0.98,-6.1,1754683522.1568668
B20,0.99,0.2,1754683522.1568694
B21,1.02,-5.3,1754683522.1568718
B22,0.98,-6.1,1754683522.156874
B6,1.02,-5.3,1754683524.1573997
B9,1.01,0.5,1754683524.1575549
B10,0.99,0.2,1754683524.157563
B17,0.98,-6.1,1754683524.157566
B20,0.99,0.2,1754683524.1575685
B21,1.02,-5.3,1754683524.1575708
B22,0.98,-6.1,1754683524.1575732
B6,1.02,-5.3,1754683526.157759
B9,1.01,0.5,1754683526.1590507
B10,0.99,0.2,1754683526.1590667
B17,0.98,-6.1,1754683526.1590703
B20,0.99,0.2,1754683526.159073
B21,1.02,-5.3,1754683526.1590753
B22,0.98,-6.1,1754683526.1590776
B6,1.02,-5.3,1754683528.159462
B9,1.01,0.5,1754683528.159505
B10,0.99,0.2,1754683528.15951
B17,0.98,-6.1,1754683528.159513
B20,0.99,0.2,1754683528.1595156
B21,1.02,-5.3,1754683528.1595182
B22,0.98,-6.1,1754683528.1595209
B6,1.02,-5.3,1754683530.1599233
B9,1.01,0.5,1754683530.1599636
B10,0.99,0.2,1754683530.159969
B17,0.98,-6.1,1754683530.1599724
B20,0.99,0.2,1754683530.1599748
B21,1.02,-5.3,1754683530.1599772
B22,0.98,-6.1,1754683530.1599793
B6,1.02,-5.3,1754683532.1603084
B9,1.01,0.5,1754683532.1603422
B10,0.99,0.2,1754683532.1603472
B17,0.98,-6.1,1754683532.1603503
B20,0.99,0.2,1754683532.1603525
B21,1.02,-5.3,1754683532.1603546
B22,0.98,-6.1,1754683532.1603568
B6,1.02,-5.3,1754683534.1618798
B9,1.01,0.5,1754683534.1619294
B10,0.99,0.2,1754683534.1619346
B17,0.98,-6.1,1754683534.1619377
B20,0.99,0.2,1754683534.1619406
B21,1.02,-5.3,1754683534.1619427
B22,0.98,-6.1,1754683534.1619449
B6,1.02,-5.3,1754683536.1626658
B9,1.01,0.5,1754683536.1627064
B10,0.99,0.2,1754683536.1627116
B17,0.98,-6.1,1754683536.1627147
B20,0.99,0.2,1754683536.162717
B21,1.02,-5.3,1754683536.1627192
B22,0.98,-6.1,1754683536.1627216
B6,1.02,-5.3,1754683538.1629105
B9,1.01,0.5,1754683538.1632793
B10,0.99,0.2,1754683538.1632917
B17,0.98,-6.1,1754683538.163295
B20,0.99,0.2,1754683538.1632977
B21,1.02,-5.3,1754683538.1633
B22,0.98,-6.1,1754683538.1633024
B6,1.02,-5.3,1754683540.1641033
B9,1.01,0.5,1754683540.1642966
B10,0.99,0.2,1754683540.1643054
B17,0.98,-6.1,1754683540.1643085
B20,0.99,0.2,1754683540.164311
B21,1.02,-5.3,1754683540.1643136
B22,0.98,-6.1,1754683540.1643157
B6,1.02,-5.3,1754683542.1652973
B9,1.01,0.5,1754683542.1653411
B10,0.99,0.2,1754683542.165346
B17,0.98,-6.1,1754683542.1653488
B20,0.99,0.2,1754683542.1653514
B21,1.02,-5.3,1754683542.1653538
B22,0.98,-6.1,1754683542.165356
B6,1.02,-5.3,1754683544.165736
B9,1.01,0.5,1754683544.1660993
B10,0.99,0.2,1754683544.1661103
B17,0.98,-6.1,1754683544.1661136
B20,0.99,0.2,1754683544.1661162
B21,1.02,-5.3,1754683544.1661184
B22,0.98,-6.1,1754683544.166121
B6,1.02,-5.3,1754683546.1663928
B9,1.01,0.5,1754683546.1669855
B10,0.99,0.2,1754683546.1670024
B17,0.98,-6.1,1754683546.167006
B20,0.99,0.2,1754683546.1670089
B21,1.02,-5.3,1754683546.167011
B22,0.98,-6.1,1754683546.1670136
B6,1.02,-5.3,1754683548.1672924
B9,1.01,0.5,1754683548.1681395
B10,0.99,0.2,1754683548.168156
B17,0.98,-6.1,1754683548.1681595
B20,0.99,0.2,1754683548.168162
B21,1.02,-5.3,1754683548.168164
B22,0.98,-6.1,1754683548.1681662
B6,1.02,-5.3,1754683550.168445
B9,1.01,0.5,1754683550.1687007
B10,0.99,0.2,1754683550.1687086
B17,0.98,-6.1,1754683550.1687121
B20,0.99,0.2,1754683550.1687152
B21,1.02,-5.3,1754683550.1687176
B22,0.98,-6.1,1754683550.1687198
B6,1.02,-5.3,1754683552.168941
B9,1.01,0.5,1754683552.1692958
B10,0.99,0.2,1754683552.169308
B17,0.98,-6.1,1754683552.1693115
B20,0.99,0.2,1754683552.1693144
B21,1.02,-5.3,1754683552.1693163
B22,0.98,-6.1,1754683552.1693187
B6,1.02,-5.3,1754683554.1695123
B9,1.01,0.5,1754683554.169549
B10,0.99,0.2,1754683554.1695538
B17,0.98,-6.1,1754683554.1695566
B20,0.99,0.2,1754683554.169559
B21,1.02,-5.3,1754683554.1695614
B22,0.98,-6.1,1754683554.1695633
